gene	mean	std
YGL188C-A	2.26E-31	3.19E-31
YGR038C-B	3.16E-14	4.47E-14
YML045W	0.00E+00	0.00E+00
YFR006W	8.24E+01	2.78E-02
YDL215C	3.34E+01	1.15E-01
YOR124C	3.07E+01	8.52E-02
YIL082W	5.49E-02	2.24E-03
YEL032C-A	5.38E-01	2.79E-02
YFL058W	4.26E-02	2.21E-03
YLL065W	1.24E-01	6.43E-03
YNL067W-A	8.89E-01	4.61E-02
YER117W	5.42E+02	9.53E-01
YAR035C-A	0.00E+00	0.00E+00
YML045W-A	0.00E+00	0.00E+00
YOL165C	0.00E+00	0.00E+00
YDR004W	1.73E+01	1.87E-01
YBL011W	4.43E+01	2.21E-01
YGR037C	1.66E+02	7.90E+00
YGL196W	2.41E+01	4.02E-01
YOR031W	1.75E+01	4.12E-01
YDR318W	1.29E+01	2.37E-02
YFL003C	1.59E+00	2.42E-02
YDR182W-A	1.01E+01	6.76E-01
YOL089C	1.12E+01	2.50E-01
YDR238C	1.16E+02	9.02E-01
YGL006W	8.51E+00	3.27E-01
YGR053C	3.04E+00	4.92E-02
YMR204C	9.30E+00	9.23E-02
YBR126C	5.10E+01	1.38E+00
YOR186C-A	3.40E+00	5.56E-01
YCR088W	9.64E+01	1.05E+00
YLR344W	3.61E+02	1.17E+01
YBR131C-A	2.17E+00	2.29E-01
YKL068W-A	2.27E+02	5.86E-01
YKR089C	2.28E+01	6.41E-01
YPL028W	1.07E+02	1.01E+00
YGR240C-A	1.73E+00	2.17E-01
YJL195C	4.64E-01	1.98E-02
YBL001C	1.74E+02	4.06E+00
YPL267W	2.63E+00	1.36E-01
YNL103W-A	1.68E+00	2.54E-01
YIL100W	7.38E-01	3.82E-02
YML099W-A	5.28E-01	2.74E-02
YGR181W	3.45E+01	4.21E+00
YFR045W	9.31E+00	3.50E-01
YDL211C	1.19E+01	2.63E-01
YPR144C	5.94E+01	4.85E-01
YOR018W	8.03E+00	3.30E-01
YER003C	2.23E+02	1.35E+01
YER154W	1.79E+01	7.24E-01
YPL037C	4.07E+02	1.83E+01
YFR017C	1.59E+00	7.46E-02
YGL212W	2.64E+00	4.93E-01
YHR104W	4.59E+01	3.35E+00
YDL136W	1.23E+02	4.78E+00
YBL036C	5.67E+01	1.15E+00
YCL009C	9.97E+00	2.17E+00
YMR173W	5.10E+01	1.68E+00
YNR051C	8.47E+01	1.87E+00
YCR002C	5.88E+01	1.33E+00
YGR059W	1.34E+00	3.04E-02
YDR368W	6.41E+01	2.08E+00
YHR078W	1.61E+01	5.01E-01
YDL040C	4.16E+01	1.36E+00
YKR011C	1.53E+01	1.21E+00
YML070W	7.53E+01	5.83E+00
YER023C-A	6.13E-01	3.18E-02
YMR296C	3.57E+01	2.24E-01
YLR080W	5.23E+00	4.66E-01
YGL207W	1.07E+02	1.21E+00
YIR024C	3.21E+00	2.61E-01
YMR085W	4.33E+00	2.72E-01
YKL030W	3.22E-01	3.41E-02
YOR378W	7.30E-01	1.88E-03
YBR021W	1.99E+01	2.90E-01
YPL125W	4.02E+01	4.09E-01
YGL030W	3.74E+03	2.33E+02
YML082W	2.62E+01	6.45E-01
YMR304W	2.44E+01	1.18E+00
YPR004C	1.64E+02	3.37E+00
YDL193W	1.89E+01	1.61E+00
YML042W	2.07E+00	1.53E-01
YPL122C	2.64E+01	2.13E-01
YCR041W	1.04E+00	3.16E-01
YKL096C-B	5.81E-01	3.01E-02
YBR041W	4.67E+01	1.78E+00
YKR046C	4.03E+01	1.20E+00
YDL021W	1.24E+01	6.72E-01
YLR382C	1.98E+01	2.00E-01
YAR007C	3.58E+01	2.85E+00
YMR040W	4.92E+00	5.73E-01
YJR080C	3.14E+01	1.14E+00
YGR031C-A	5.28E-01	9.76E-02
YDL162C	6.10E-01	3.16E-02
YGR090W	9.99E+01	1.62E+00
YEL032W	4.19E+01	3.14E+00
YBR153W	2.16E+01	5.55E-01
YDR273W	3.50E+00	7.42E-01
YLR120W-A	5.52E+00	9.20E-01
YHR070W	3.88E+01	1.35E+00
YDL132W	4.80E+01	3.52E+00
YGR066C	1.31E+00	3.30E-02
YER065C	1.44E+01	2.00E+00
YLR364W	8.60E+01	7.60E-01
YMR309C	2.14E+02	1.98E-01
YCR073W-A	9.68E+00	1.77E-01
YER158W-A	1.90E+00	3.28E-01
YHR105W	6.11E+00	4.60E-01
YER048C	5.92E+01	2.10E+00
YDR413C	7.17E-01	1.62E-02
YEL018C-A	1.63E+00	2.00E-01
YER060W-A	8.60E-01	2.53E-02
YMR033W	6.40E+01	1.94E+00
