Gene	30aa1	30aa2	30aa3	mean	std	Gene_Locus_ID	Other_IDs
SPGP0DN00100	1362.47715789303	1041.13482784312	1051.28470260316	1151.63222944644	182.66757478586	YBR298C	MAL3T
SPGP0CZ02560	12455.6895163392	12706.4466005827	13009.6481947141	12723.9281038787	277.392783891059	YKR044W	
SPGP0AE00460	6861.17013782962	7583.60307750483	8067.78230924888	7504.18517486111	607.213830128663	YCL025C	AGP1 YCL025C YCL25C
SPGP0Q02220	11503.5235741544	8860.57507629584	6416.35476460848	8926.81780501957	2544.23125885517	YGR065C	
SPGP0CZ02650	9004.19686955395	8850.22124927862	8697.93229338798	8850.78347074018	153.133062149424	YKR054C	DHC1
SPGP0I01060	2152.60937158164	2249.08131318597	1416.54405301548	1939.41157926103	455.378464994594	YER025W	GCD11 TIF213 YER025W
SPGP0E01000	7680.05027109014	7190.1576508503	4478.30727644339	6449.50506612794	1724.59103540066	YER025W	TIF213
SPGP0F02110	1797.18054778346	1444.93408151488	1333.76572997586	1525.2934530914	241.932934490207	YGR065C	VHT1 YGR065C
SPGP0AE00100	114.120529209711	127.697199879101	83.8130520776143	108.543593722142	22.4673377181201	YCL064C	CHA1 YCL064C YCL64C
SPGP0W04410	16613.6840653312	20952.6946071898	18088.0983131948	18551.4923285719	2206.3099579854	YDL189W	
SPGP0Z00100	22125.4442814369	20482.1706905182	13133.8156792736	18580.4768837429	4787.97198517869	YNR001C	GLU3 LYS6
SPGP0M03610	3174.46724000141	3725.07687575252	3792.28192425255	3563.94201333549	338.964716355109	YNR053C	NOG2 YNR053C N3484
SPGP0U00710	5516.11596149532	5446.11301106005	5309.19469395357	5423.80788883631	105.248475515482	YPL113C	
SPGP0I02300	1284.07374087873	1164.23032682568	1258.23051020221	1235.51152596887	63.0692092579147	YER149C	PEA2 PPF2 YER149C
SPGP0G02700	1932.20865486365	2252.53258885838	2331.24452260327	2171.99525544177	211.357759476845	YJL139C	YUR1 YJL139C J0657
SPGP0DV00510	1593.33166354626	1703.77975694549	1805.60217130169	1700.90453059781	106.164458792007	YNR044W	
SPGP0AE00730	6424.72444978332	5010.10185111249	4254.80580423642	5229.87736837741	1101.5274352302	YCR011C	ADP1 YCR011C YCR105 YCR11C
SPGP0W02500	764.868890428442	740.873844343615	698.442100646786	734.728278472948	33.6371161825314	YBR046C	
SPGP0DN01670	4216.36153721373	3667.55561454572	2599.23934344404	3494.38549840116	822.351484609691	YDR042C	
SPGP0M03620	2848.65748485308	3317.82634640836	3658.80187835116	3275.09523653753	406.759075365489	YNR054C	ESF2 ABT1 YNR054C N3491
SPGP0N02280	3676.24910889297	3641.09583439059	2154.30585710609	3157.21693346322	868.724299468432	YLR167W	RPS37 UBI3
SPGP0AA00770	3922.78429794906	3041.72429261571	2722.37209896547	3228.96022984341	621.723679788141	YCR011C	
SPGP0C00660	2263.2453044796	2620.66866058192	2600.27407248203	2494.72934584785	200.730244014385	YDL181W	INH1 YDL181W D1305
SPGP0DC01770	588.025627607287	639.636424619643	670.504416620915	632.722156282615	41.6718488822606	YBR073W	RDH54 TID1 YBR073W YBR0715
SPGP0U02200	29916.130485425	28688.1538142806	27642.7862500428	28749.0235165828	1137.89381913698	YPL268W	PLC1 YPL268W
SPGP0M02110	1331.98694016525	1568.02958049743	2135.68073442217	1678.56575169495	413.091530522022	YNL106C	INP52 SJL2 YNL106C N2160
SPGP0CZ03050	37584.8558185019	43274.3952311016	49808.7517019768	43556.0009171934	6116.81158483226	YKR095W	
SPGP0C01110	2156.96511697132	2216.86940691016	2146.02802480212	2173.28751622787	38.1371327299511	YDL130W	RPP1B L12EIIB RPL44P RPLA3 YDL130W
SPGP0DZ02290	2584.69931423825	2641.37631461637	3266.63957295097	2830.90506726853	378.419727517879	YOR378W	
SPGP0X00420	50814.9968651269	52500.8055286727	51985.8215979188	51767.2079972395	863.90488036763	YPR036W	CLS11
SPGP0Y00460	1754.49424296456	1671.56785066968	1480.69725337119	1635.58644900181	140.40012046678	YDR384C	
