gene	mean	std
YGL188C-A	7.54E-27	1.07E-26
YGR038C-B	3.23E-14	2.00E-15
YML045W	9.69E-14	5.99E-15
YFR006W	1.18E+02	3.49E-01
YDL215C	3.84E+01	1.20E-01
YOR124C	3.61E+01	1.89E-01
YIL082W	1.52E-06	1.27E-06
YEL032C-A	0.00E+00	0.00E+00
YFL058W	0.00E+00	0.00E+00
YLL065W	0.00E+00	0.00E+00
YNL067W-A	0.00E+00	0.00E+00
YER117W	3.63E+02	1.01E+01
YAR035C-A	5.30E-01	3.27E-02
YML045W-A	9.73E-02	6.01E-03
YOL165C	9.93E-02	6.14E-03
YDR004W	2.20E+01	2.59E-01
YBL011W	4.96E+01	3.17E-01
YGR037C	2.71E+02	1.38E+00
YGL196W	2.94E+01	8.61E-02
YOR031W	2.25E+01	9.57E-02
YDR318W	1.74E+01	4.01E-01
YFL003C	2.09E+00	4.87E-02
YDR182W-A	1.63E+01	3.32E-02
YOL089C	1.35E+01	8.14E-02
YDR238C	1.24E+02	9.19E-02
YGL006W	1.23E+01	3.07E-01
YGR053C	4.02E+00	1.07E-01
YMR204C	1.03E+01	8.71E-02
YBR126C	6.70E+01	1.45E+00
YOR186C-A	8.16E+00	2.16E-01
YCR088W	1.19E+02	2.77E+00
YLR344W	2.29E+02	1.27E+01
YBR131C-A	4.77E-01	2.95E-02
YKL068W-A	1.48E+02	1.09E+01
YKR089C	2.88E+01	5.33E-01
YPL028W	1.25E+02	2.34E+00
YGR240C-A	4.05E+00	2.51E-01
YJL195C	2.13E-01	3.00E-02
YBL001C	1.44E+02	1.15E+00
YPL267W	1.33E+00	1.30E-01
YNL103W-A	0.00E+00	0.00E+00
YIL100W	1.33E+00	8.24E-02
YML099W-A	8.42E-01	3.97E-02
YGR181W	6.16E+01	9.59E-02
YFR045W	1.16E+01	9.52E-02
YDL211C	1.40E+01	2.14E-01
YPR144C	5.55E+01	3.80E-01
YOR018W	1.03E+01	1.45E-01
YER003C	3.15E+02	5.51E+00
YER154W	2.28E+01	2.81E-01
YPL037C	2.77E+02	1.00E+01
YFR017C	2.07E+00	2.62E-02
YGL212W	5.74E+00	1.23E-01
YHR104W	6.67E+01	8.91E-01
YDL136W	7.02E+01	7.51E+00
YBL036C	6.82E+01	1.57E+00
YCL009C	3.01E+01	2.66E+00
YMR173W	8.34E+01	5.36E+00
YNR051C	1.10E+02	4.03E+00
YCR002C	5.13E+01	1.40E-01
YGR059W	1.10E+00	3.05E-02
YDR368W	8.64E+01	3.44E+00
YHR078W	1.94E+01	3.34E-01
YDL040C	4.90E+01	2.39E-01
YKR011C	2.18E+01	2.38E-01
YML070W	1.07E+02	7.62E-01
YER023C-A	1.60E+00	1.85E-01
YMR296C	4.60E+01	1.98E+00
YLR080W	7.96E+00	2.56E-01
YGL207W	1.25E+02	3.27E+00
YIR024C	4.80E+00	1.69E-01
YMR085W	6.17E+00	2.48E-01
YKL030W	5.66E-01	3.50E-02
YOR378W	4.96E-01	4.75E-02
YBR021W	1.60E+01	7.63E-01
YPL125W	4.71E+01	1.38E+00
YGL030W	2.55E+03	7.69E+01
YML082W	2.99E+01	4.03E-01
YMR304W	3.13E+01	8.84E-01
YPR004C	1.44E+02	2.61E+00
YDL193W	2.70E+01	6.66E-01
YML042W	2.80E+00	3.77E-02
