gene,C,D,F
ENSRNOG00000061876,63.3327,51.869,55.0509
ENSRNOG00000061304,245.264,268.005,439.915
ENSRNOG00000061050,208.865,207.622,195.187
ENSRNOG00000060262,449.383,624.599,555.942
ENSRNOG00000060063,74.2699,70.1815,79.3738
ENSRNOG00000060045,644.645,698.217,684.726
ENSRNOG00000059202,1062.65,1128.59,1205.68
ENSRNOG00000059061,2902.06,2349.97,2395.22
ENSRNOG00000058694,343.314,303.698,338.881
ENSRNOG00000058249,6411.58,6766.19,6430.78
ENSRNOG00000057988,1100.38,1079.23,874.998
ENSRNOG00000057814,692.569,640.418,656.515
ENSRNOG00000057628,386.991,517.832,448.707
ENSRNOG00000057620,651.657,559.754,465.32
ENSRNOG00000057367,1811.1,1897.27,1436.49
ENSRNOG00000057102,1037.27,1033.82,1016.59
ENSRNOG00000057042,92.3872,86.7855,78.1623
ENSRNOG00000056728,800.69,786.606,768.48
ENSRNOG00000056596,232.555,314.776,272.264
ENSRNOG00000056457,184.511,150.307,128.662
ENSRNOG00000056398,516.198,470.059,466.309
ENSRNOG00000056246,796.934,991.603,739.857
ENSRNOG00000055672,246.228,228.797,220.315
ENSRNOG00000055572,1283.15,1348.13,1188.64
ENSRNOG00000055450,65.483,65.2948,57.2162
ENSRNOG00000055295,153.982,124.838,117.341
ENSRNOG00000055221,272.324,255.242,280.049
ENSRNOG00000055049,121.015,66.1961,66.7674
ENSRNOG00000054770,184.479,167.887,153.229
ENSRNOG00000054757,90.3375,80.7675,63.5428
ENSRNOG00000054549,387.03,354.291,309.578
ENSRNOG00000054157,108.57,113.937,105.873
ENSRNOG00000052704,90.9375,100.637,109.292
ENSRNOG00000052564,90.2915,82.2829,54.6909
ENSRNOG00000052506,451.818,415.519,445.775
ENSRNOG00000052289,1064.94,1047.52,994.617
ENSRNOG00000051860,145.049,116.302,107.136
ENSRNOG00000051490,199.566,169.934,152.232
ENSRNOG00000051232,935.982,915.11,949.005
ENSRNOG00000051151,193.884,184.998,171.171
ENSRNOG00000050843,533.668,628.473,727.971
ENSRNOG00000050534,174.803,107.009,117.789
ENSRNOG00000050315,74.6954,59.1471,51.3803
ENSRNOG00000050277,138.7,142.416,116.879
ENSRNOG00000050057,100.617,117.762,88.0928
ENSRNOG00000049604,155.059,130.479,120.14
ENSRNOG00000049560,921.221,903.402,1000.4
ENSRNOG00000049281,374.407,441.258,398.101
ENSRNOG00000049110,95.414,89.6121,85.8486
ENSRNOG00000049056,473.391,444.722,316.436
ENSRNOG00000048812,807.48,770.756,628.39
ENSRNOG00000048174,1333.27,1024.95,845.002
ENSRNOG00000047796,473.306,402.805,404.475
ENSRNOG00000047734,157.93,152.04,115.335
ENSRNOG00000047656,377.987,425.409,322.522
ENSRNOG00000047493,338.126,293.386,317.066
ENSRNOG00000046984,96.5896,81.7155,74.4669
ENSRNOG00000046975,1310.07,1302.14,1154.71
ENSRNOG00000046947,269.319,335.403,301.582
ENSRNOG00000046891,1286.26,1328.05,1090.09
ENSRNOG00000046889,6863.9,4936.69,4515.92
ENSRNOG00000046493,164.33,176.234,158.693
ENSRNOG00000046357,911.718,917.998,869.087
ENSRNOG00000046345,903.398,856.261,767.946
ENSRNOG00000046258,158.821,139.776,138.481
ENSRNOG00000046159,566.329,542.43,460.252
ENSRNOG00000045752,79.0652,71.9463,65.2545
ENSRNOG00000045636,1373.81,1438.9,1437.88
ENSRNOG00000045605,374.357,401.531,355.832
ENSRNOG00000043377,3191.52,3267.85,2774.35
ENSRNOG00000043094,700.658,686.132,653.278
ENSRNOG00000042419,2761.42,2786.56,3341.93
ENSRNOG00000042359,571.74,541.661,561.533
ENSRNOG00000042289,796.627,952.949,1039.87
ENSRNOG00000042224,102.488,113.282,118.47
ENSRNOG00000042044,334.737,315.847,270.818
ENSRNOG00000040287,104.752,96.3601,98.8304
ENSRNOG00000039980,3721.16,3748.52,3493.49
ENSRNOG00000039850,2247.32,1681,1746.06
ENSRNOG00000039576,63.5867,66.5177,58.4107
ENSRNOG00000039551,591.346,573.604,614.563
ENSRNOG00000039300,424.217,462.719,480.659
ENSRNOG00000038085,432.507,540.233,513.5
ENSRNOG00000038001,468.412,431.047,311.305
ENSRNOG00000037695,654.724,761.058,767.836
ENSRNOG00000036814,508.217,470.039,388.044
ENSRNOG00000036742,1220.51,1430.6,1333.62
ENSRNOG00000036693,98.2048,75.0178,66.5609
ENSRNOG00000036689,1098.97,955.209,721.749
ENSRNOG00000036686,384.286,320.455,247.765
ENSRNOG00000036684,184.194,168.506,131.395
ENSRNOG00000034191,187.108,158.208,147.872
ENSRNOG00000034116,122.999,128.814,118.482
ENSRNOG00000034084,82.1588,85.1812,90.1751
ENSRNOG00000033824,120.562,104.829,111.098
ENSRNOG00000033663,114.791,128.833,121.221
ENSRNOG00000033623,409.229,347.263,353.886
ENSRNOG00000033206,284.485,327.505,321.81
ENSRNOG00000033119,265.15,242.62,268.862
ENSRNOG00000032908,168.776,168.258,135.113
ENSRNOG00000032798,367.415,304.727,282.506
ENSRNOG00000032659,341.521,303.218,360.195
ENSRNOG00000032381,70.1282,60.4618,68.3592
ENSRNOG00000032297,1603.37,1661.25,1650.76
ENSRNOG00000032204,6064.87,5545.64,5802.67
ENSRNOG00000032134,2401.09,2274.6,1828.52
ENSRNOG00000031965,846.996,772.239,656.891
ENSRNOG00000031766,23375,23230.5,23095.1
ENSRNOG00000031612,207.588,222.189,198.226
ENSRNOG00000031208,77.8956,76.1988,61.3751
ENSRNOG00000030862,536.205,675.22,606.794
ENSRNOG00000030654,133.294,138.21,128.102
ENSRNOG00000030630,89.3681,102.482,77.4718
ENSRNOG00000030269,148.724,229.071,207.911
ENSRNOG00000030216,86.4754,82.2018,79.6007
ENSRNOG00000030183,166.412,161.893,168.523
ENSRNOG00000030019,8305.44,9692.7,7804.65
ENSRNOG00000029778,1074.99,870.279,785.379
ENSRNOG00000029549,498.364,519.56,529.813
ENSRNOG00000029318,4490.4,3380.9,3482.53
ENSRNOG00000029178,299.046,395.916,296.628
ENSRNOG00000029077,178.92,126.429,100.68
ENSRNOG00000028844,203.46,238.275,281.373
ENSRNOG00000028711,108.414,119.086,105.533
ENSRNOG00000028623,68.1269,73.7342,73.6281
ENSRNOG00000028557,425.689,498.12,512.13
ENSRNOG00000028448,554.083,462.516,401.338
ENSRNOG00000028292,156.463,152.563,130.93
ENSRNOG00000028156,161.528,148.48,138.625
ENSRNOG00000027919,142.87,166.417,166.904
ENSRNOG00000027739,117.544,92.5042,88.2749
ENSRNOG00000027228,78.9075,123.795,127.549
ENSRNOG00000026842,162.002,133.734,155.73
ENSRNOG00000026745,904.176,1199.39,1258.25
ENSRNOG00000026705,68.2344,48.4577,57.7369
ENSRNOG00000026497,330.892,324.744,349.124
ENSRNOG00000026163,139.833,165.183,140.896
ENSRNOG00000025372,397.835,423.441,428.876
ENSRNOG00000025286,64.7309,62.2876,68.1563
ENSRNOG00000025274,471.534,412.744,392.433
ENSRNOG00000025121,264.945,407.193,337.113
ENSRNOG00000025053,247.722,237.595,173.036
ENSRNOG00000024886,69.9939,64.9866,68.5753
ENSRNOG00000024801,87.9109,78.4849,73.8234
ENSRNOG00000024629,666.498,694.476,527.308
ENSRNOG00000024577,284.968,226.948,201.813
ENSRNOG00000024563,64.8679,68.145,69.8645
ENSRNOG00000024410,156.958,123.217,115.948
ENSRNOG00000024144,2330.37,2732.19,2446.87
ENSRNOG00000024128,1569.88,1640.51,1334.99
ENSRNOG00000024112,269.546,381.004,350.421
ENSRNOG00000023910,290.181,270.359,233.888
ENSRNOG00000023778,924.505,1036.46,983.955
ENSRNOG00000023520,172.126,202.968,148.077
ENSRNOG00000023150,2208.03,2342.85,1736.49
ENSRNOG00000022980,1370.46,1541.83,1433.84
ENSRNOG00000022967,62.6293,70.3056,71.3309
ENSRNOG00000022943,71.7571,76.3367,66.2036
ENSRNOG00000022922,495.051,623.864,589.029
ENSRNOG00000022480,135.629,159.944,127.394
ENSRNOG00000022274,79.1264,90.7834,96.0902
ENSRNOG00000022273,619.432,541.224,461.201
ENSRNOG00000021347,137.575,141.169,151.879
ENSRNOG00000021314,1187.52,1230.23,1092.61
ENSRNOG00000021273,193.142,157.478,211.12
ENSRNOG00000021262,123.503,125.622,125.537
ENSRNOG00000021233,253.721,239.307,254.599
