gene,C,Csd,D,Dsd,CT,CTsd,DT,DTsd
ENSRNOG00000000007,4.0296,0.1924,4.2439,0.0772,3.9781,0.2414,4.2122,0.1847
ENSRNOG00000000041,10.9914,0.0387,10.8632,0.2067,11.1457,0.3378,10.2103,0.5407
ENSRNOG00000000043,7.8798,0.0971,7.2517,0.0113,8.0988,0.0565,7.7263,0.1361
ENSRNOG00000000065,4.732,0.0513,4.8157,0.014,4.8835,0.091,4.7608,0.066
ENSRNOG00000000108,9.7594,0.2211,9.7366,0.1748,10.0116,0.0987,9.7259,0.0817
ENSRNOG00000000121,6.963,0.1033,6.8025,0.0788,7.3586,0.1452,6.9838,0.176
ENSRNOG00000000122,12.1289,0.1032,11.9076,0.0933,12.7212,0.1647,11.8396,0.3031
ENSRNOG00000000145,4.8371,0.0425,4.7539,0.1025,4.7085,0.2397,4.7693,0.1427
ENSRNOG00000000158,13.8922,0.1084,14.1223,0.1198,13.9789,0.207,14.1241,0.1349
ENSRNOG00000000165,8.5097,0.5199,10.8197,0.0855,9.5905,0.488,10.3147,0.5056
ENSRNOG00000000167,6.5853,0.6533,6.4202,0.3206,6.2519,0.1582,5.6957,0.3432
ENSRNOG00000000168,8.5398,0.4415,7.9624,0.2803,7.0497,0.4946,8.0124,0.2922
ENSRNOG00000000177,9.5057,0.1686,9.7845,0.268,9.8041,0.197,9.8927,0.5486
ENSRNOG00000000185,11.0947,0.0912,11.0711,0.0732,11.7964,0.1815,11.01,0.2203
ENSRNOG00000000186,11.9988,0.197,12.3715,0.1273,12.2949,0.1829,12.2668,0.13
ENSRNOG00000000196,4.7879,0.1037,5.1631,0.1915,4.4969,0.089,4.8745,0.2347
ENSRNOG00000000257,6.2938,0.2406,6.2929,0.3159,6.2359,0.4256,6.4542,0.4064
ENSRNOG00000000281,10.4051,0.6339,10.589,0.3432,10.8767,0.1767,11.2957,0.3056
ENSRNOG00000000306,7.1207,0.0341,7.1576,0.0554,7.8188,0.171,7.0457,0.114
ENSRNOG00000000428,4.7989,0.0623,4.8949,0.1454,4.5223,0.1435,4.7601,0.0943
