rxn_id,C,D,T
R_13DAMPPOX,0.0,0.0,0.0
R_1a_24_25VITD2Hm,0.0,0.0,0.0
R_1a_24_25VITD3Hm,0.0,0.0,0.0
R_1a_25VITD2Hm,0.0,0.0,0.0
R_1a_25VITD3Hm,0.0,0.0,0.0
R_1PPDCRp,0.0,0.0,0.0
R_24_25VITD2Hm,0.0,0.0,0.0
R_24_25VITD3Hm,0.0,0.0,0.0
R_25VITD2Hm,0.0,0.0,0.0
R_25VITD3Hm,0.0,0.0,0.0
R_2AMACHYD,0.0,0.0,0.0
R_2AMACSULT,0.0,0.0,0.0
R_2DR1PP,0.0,0.0,0.0
R_2HBO,0.0,0.0,0.0
R_2OXOADOXm,0.0,0.0,0.0
R_34DHOXPEGOX,0.0,0.0,0.0
R_34DHPHAMT,0.0,0.0,0.0
R_34DHPLACOX,0.0,0.0,0.0
R_34DHPLACOX_NADP_,0.0,0.0,0.0
R_34DHXMANDACOX,0.0,0.0,0.0
R_34DHXMANDACOX_NADP_,0.0,0.0,0.0
R_34HPLFM,0.0,0.0,0.0
R_34HPPOR,0.0,0.0,0.0
R_3AIBTm,0.0,0.0,0.0
R_3DPHBH1,0.0,0.0,0.0
R_3DPHBH2,0.0,0.0,0.0
R_3DSPHR,0.0,0.0,0.0
R_3HAO,0.0,0.0,0.0
R_3HBCDm,0.0,0.0,0.0
R_3HBCOAHLm,0.0,0.0,0.0
R_3HKYNAKGAT,0.0,0.0,0.0
R_3HLYTCL,0.0,0.0,0.0
R_3HPCOAHYD,0.0,0.0,0.0
R_3HPPD,0.0,0.0,0.0
R_3HXKYNDCL,0.0,0.0,0.0
R_3HXKYNOXDA,0.0,0.0,0.0
R_3M4HDXPAC,0.0,0.0,0.0
R_3MOX4HOXPGALDOX,0.0,0.0,0.0
R_3MOX4HOXPGALDOX_NADP_,0.0,0.0,0.0
R_3MOXTYROX,0.0,0.0,0.0
R_3NTD7l,0.0,0.0,0.0
R_3SALACBOXL,0.0,0.0,0.0
R_3SALAOX,0.0,0.0,0.0
R_3SALATAi,0.0,0.0,0.0
R_3SALATAim,0.0,0.0,0.0
R_3SPYRSP,0.0,0.0,0.0
R_3SPYRSPm,0.0,0.0,0.0
R_41R1H2MAE12BOOX,0.0,0.0,0.0
R_41R2A1H12BOOX,0.0,0.0,0.0
R_42A12BOOX,0.0,0.0,0.0
