rxn_id,C,D,CT,DT
R_13DAMPPOX,0.0,0.0,0.0,0.0
R_1a_24_25VITD2Hm,0.0,0.0,0.0,0.0
R_1a_24_25VITD3Hm,0.0,0.0,0.0,0.0
R_1a_25VITD2Hm,0.0,0.0,0.0,0.0
R_1a_25VITD3Hm,0.0,0.0,0.0,0.0
R_1PPDCRp,0.0,0.0,0.0,0.0
R_24_25VITD2Hm,0.0,0.0,0.0,0.0
R_24_25VITD3Hm,0.0,0.0,0.0,0.0
R_25VITD2Hm,0.0,0.0,0.0,0.0
R_25VITD3Hm,0.0,0.0,0.0,0.0
R_2AMACHYD,0.0,0.0,0.0,0.0
R_2AMACSULT,0.0,0.0,0.0,0.0
R_2DR1PP,0.0,0.0,0.0,0.0
R_2HBO,0.0,0.0,0.0,0.0
R_2OXOADOXm,0.0,0.0,0.0,0.0
R_34DHOXPEGOX,0.0,0.0,0.0,0.0
R_34DHPHAMT,0.0,0.0,0.0,0.0
R_34DHPLACOX,0.0,0.0,0.0,0.0
R_34DHPLACOX_NADP_,0.0,0.0,0.0,0.0
R_34DHXMANDACOX,0.0,0.0,0.0,0.0
R_34DHXMANDACOX_NADP_,0.0,0.0,0.0,0.0
R_34HPLFM,0.0,0.0,0.0,0.0
R_34HPPOR,0.0,0.0,0.0,0.0
R_3AIBTm,0.0,0.0,0.0,0.0
R_3DPHBH1,0.0,0.0,0.0,0.0
R_3DPHBH2,0.0,0.0,0.0,0.0
R_3DSPHR,0.0,0.0,0.0,0.0
R_3HAO,0.0,0.0,0.0,0.0
R_3HBCDm,0.0,0.0,0.0,0.0
R_3HBCOAHLm,0.0,0.0,0.0,0.0
R_3HKYNAKGAT,0.0,0.0,0.0,0.0
R_3HLYTCL,0.0,0.0,0.0,0.0
R_3HPCOAHYD,0.0,0.0,0.0,0.0
R_3HPPD,0.0,0.0,0.0,0.0
R_3HXKYNDCL,0.0,0.0,0.0,0.0
R_3HXKYNOXDA,0.0,0.0,0.0,0.0
R_3M4HDXPAC,0.0,0.0,0.0,0.0
R_3MOX4HOXPGALDOX,0.0,0.0,0.0,0.0
R_3MOX4HOXPGALDOX_NADP_,0.0,0.0,0.0,0.0
R_3MOXTYROX,0.0,0.0,0.0,0.0
R_3NTD7l,0.0,0.0,0.0,0.0
R_3SALACBOXL,0.0,0.0,0.0,0.0
R_3SALAOX,0.0,0.0,0.0,0.0
R_3SALATAi,0.0,0.0,0.0,0.0
R_3SALATAim,0.0,0.0,0.0,0.0
R_3SPYRSP,0.0,0.0,0.0,0.0
R_3SPYRSPm,0.0,0.0,0.0,0.0
R_41R1H2MAE12BOOX,0.0,0.0,0.0,0.0
R_41R2A1H12BOOX,0.0,0.0,0.0,0.0
R_42A12BOOX,0.0,0.0,0.0,0.0
R_4HBZCOAFm,0.0,0.0,0.0,0.0
R_4HBZFm,0.0,0.0,0.0,0.0
R_4HGLSDm,0.0,0.0,0.0,0.0
R_4HOXPACDOX_NADP_,0.0,0.0,0.0,0.0
R_4NPHSULT,0.0,0.0,0.0,0.0
R_5ADTSTSTERONESULT,0.0,0.0,0.0,0.0
R_5HLTDL,0.0,0.0,0.0,0.0
R_5HOXINDACTO2OX,0.0,0.0,0.0,0.0
R_5HOXINDACTOXm,0.0,0.0,0.0,0.0
R_5HOXINOXDA,0.0,0.0,0.0,0.0
R_5HTRPDOX,0.0,0.0,0.0,0.0
R_5HXKYNDCL,0.0,0.0,0.0,0.0
R_5HXKYNOXDA,0.0,0.0,0.0,0.0
R_A_MANASE,0.0,0.0,0.0,0.0
R_A_MANASEly,0.0,0.0,0.0,0.0
R_A4GALTc,0.0,0.0,0.0,0.0
R_A4GALTg,0.0,0.0,0.0,0.0
R_A4GNT1g,0.0,0.0,0.0,0.0
R_A4GNT2g,0.0,0.0,0.0,0.0
R_AACOAT,0.0,0.0,0.0,0.0
R_AACTOOR,0.0,0.0,0.0,0.0
R_AASAD3m,0.0,0.0,0.0,0.0
R_AATAi,0.0,0.0,-2.8890070511793766,-2.1420475314437937
R_ABO1g,0.0,0.0,0.0,0.0
R_ABO2g,0.0,0.0,0.0,0.0
R_ABO3g,0.0,0.0,0.0,0.0
R_ABO4g,0.0,0.0,0.0,0.0
R_ABO5g,0.0,0.0,0.0,0.0
R_ABO6g,0.0,0.0,0.0,0.0
R_ABO7g,0.0,0.0,0.0,0.0
R_ABO8g,0.0,0.0,0.0,0.0
R_ABO9g,0.0,0.0,0.0,0.0
R_ABTArm,1.5114006514658098,0.090078918504977068,1.0293928985034124,2.5830432726891797
R_ABTD,0.0,0.0,0.0,0.0
R_ABUTD,0.0,0.0,0.0,0.0
R_ACACT10m,0.0,0.0,0.0,0.0
R_ACACT1r,0.0,0.0,0.0,0.0
R_ACACT1rm,0.0,0.43740176174704642,0.0,0.0
R_ACACT1x,0.0,0.0,0.0,0.0
R_ACACT4p,0.0,0.0,0.0,0.0
R_ACACT5p,0.0,0.0,0.0,0.0
R_ACACT6p,0.0,0.0,0.0,0.0
R_ACACT7p,0.0,0.0,0.0,0.0
R_ACACT8p,0.0,0.0,0.0,0.0
R_ACACT9p,0.0,0.0,0.0,0.0
R_ACCOAC,0.0,0.0,0.0,0.0
R_ACCOACm,0.0,0.0,0.0,0.0
R_ACCOAL,0.0,0.0,0.0,0.0
R_ACCOALm,0.0,0.0,0.0,0.0
R_ACGALK,0.0,0.0,0.0,0.0
R_ACGALK2,0.0,0.0,0.0,0.0
R_ACGAM2E,0.0,0.0,0.0,0.0
R_ACGAM6PSi,0.0,0.0,0.0,0.0
R_ACGAMK,0.0,0.0,0.0,0.0
R_ACGAMPM,0.0,0.0,0.0,0.0
R_ACGPID,0.0,0.0,0.0,0.0
R_ACGSm,0.0,0.0,0.0,0.0
R_ACHEe,0.0,0.0,0.0,0.0
R_ACITL,0.0,0.0,0.0,0.0
R_ACNAM9PL,0.0,0.0,0.0,0.0
R_ACNAM9PL2,0.0,0.0,0.0,0.0
