gene,C4,D4,C8,D8
ENSRNOG00000009090,2168.87,1976.73,2996.37,2716.23
ENSRNOG00000000557,2211.3,2513.67,2594.67,2581.13
ENSRNOG00000036686,706.067,869.5,1051.53,871
ENSRNOG00000003551,360,546.333,449.633,458.467
ENSRNOG00000007732,660,701.367,805.733,840.367
ENSRNOG00000048812,1171.83,1677.5,2377.03,1911.8
ENSRNOG00000003520,5914,6709.83,7891.93,7791.1
ENSRNOG00000030019,16931.8,16575.2,15207.9,16477.9
ENSRNOG00000013009,4340.6,4373.8,5018.6,5296.7
ENSRNOG00000024128,3794.43,4099.83,4577.77,5008.27
ENSRNOG00000010958,1773.17,1730.43,1665.23,1820.83
ENSRNOG00000007743,2430.3,2584.13,2951.4,2515.93
ENSRNOG00000016837,0,2515.75,437.5,231.5
ENSRNOG00000000168,1253.83,1256.07,1394.97,1379.97
ENSRNOG00000049560,697.067,928.6,541.4,706.067
ENSRNOG00000036689,2251.9,2715.33,3981.3,3660.37
ENSRNOG00000014522,548.9,616.967,638.433,626.633
ENSRNOG00000002115,4734.57,4403.03,6433.67,4706.53
ENSRNOG00000005587,2673.6,2551.3,2767.43,2634.13
ENSRNOG00000008103,10502.2,11266.3,11190.8,11756.3
ENSRNOG00000008843,569.533,614.9,822.267,659.633
ENSRNOG00000003049,1341.33,1291.7,1879.77,1681.4
ENSRNOG00000043377,4771.87,5032.4,6290.17,6307.3
ENSRNOG00000003653,2015.27,2120.67,2123.07,2003.97
ENSRNOG00000015840,1240.8,1408.17,1597.5,1460.97
ENSRNOG00000013331,3921.3,4136.1,4135.97,4190.73
ENSRNOG00000008755,1660.33,1713.3,1969.77,2005.27
ENSRNOG00000010800,5130.07,4900,4962.63,5150.7
ENSRNOG00000003253,3719.2,3441.97,4057.1,4257.57
ENSRNOG00000009845,1196.8,1367.73,1276.4,1310.5
ENSRNOG00000012183,2203.33,2005.03,1455.83,1678.3
ENSRNOG00000045636,1116.07,1184.37,1455.3,1389.63
ENSRNOG00000011404,719.167,843.033,1010.23,1105.53
ENSRNOG00000015206,282.1,366.067,395.7,469.867
ENSRNOG00000003269,2341.37,2352.2,2373.67,2203.8
ENSRNOG00000016807,3265.4,2757.8,2420.67,2296.2
ENSRNOG00000009629,1370.83,1336.13,745.533,860.1
ENSRNOG00000009513,6786.47,7513.67,9767.83,8940.8
ENSRNOG00000012966,2130.73,2601.53,2753.1,3044.53
ENSRNOG00000009325,1510.63,1723.67,2192,1915.6
ENSRNOG00000010872,2199.23,2480.83,2864.3,2855.87
ENSRNOG00000010438,163.8,283.65,148.5,203.1
ENSRNOG00000001214,378.167,529.633,787.767,814.567
ENSRNOG00000017737,1440.73,1504.4,1998.6,1955.57
ENSRNOG00000049110,0,525.2,441.7,517.467
